长度	短句	频率	英文
1	作	448	
1	佐	374	
1	左	971	
1	卒	112	
1	足	592	
1	宗	731	
1	字	185	
1	自	204	
1	滓	275	
1	紫	321	
1	子	2359	
1	状	125	
1	撰	101	
1	注	6066	
1	助	185	
1	煮	231	
1	主	1047	
1	竹	209	
1	猪	456	
1	诸	164	
1	朱	376	
1	肘	251	
1	周	200	
1	重	363	
1	肿	1045	
1	终	219	
1	中	2711	
1	痔	280	
1	治	2105	
1	炙	16823	
1	质	671	
1	制	2987	
1	志	172	
1	至	380	
1	枳	800	
1	芷	281	
1	止	261	
1	脂	257	
1	栀	577	
1	知	374	
1	枝	141	
1	汁	462	
1	之	1472	
1	症	157	
1	证	782	
1	正	182	
1	蒸	663	
1	疹	146	
1	珍	264	
1	针	255	
1	着	362	
1	者	2702	
1	折	126	
1	胀	697	
1	长	226	
1	张	523	
1	盏	299	
1	泽	322	
1	则	709	
1	燥	667	
1	枣	1565	
1	在	947	
1	再	150	
1	载	208	
1	匀	190	
1	云	15488	
1	月	146	
1	曰	22474	
1	远	115	
1	螈	570	
1	原	109	
1	元	489	
1	愈	974	
1	郁	327	
1	语	171	
1	与	723	
1	萸	146	
1	俞	295	
1	鱼	777	
1	于	273	
1	右	2191	
1	又	5222	
1	有	611	
1	油	292	
1	忧	176	
1	用	2409	
1	痈	145	
1	荥	162	
1	饮	335	
1	引	397	
1	银	163	
1	音	114	
1	阴	768	
1	因	171	
1	易	744	
1	佚	872	
1	亦	195	
1	矣	228	
1	以	1708	
1	已	105	
1	乙	150	
1	宜	438	
1	噫	684	
1	一	9974	
1	液	174	
1	曳	188	
1	叶	1169	
1	也	2142	
1	药	623	
1	腰	335	
1	痒	125	
1	疡	138	
1	杨	166	
1	阳	488	
1	羊	314	
1	验	641	
1	眼	186	
1	盐	1036	
1	研	8936	
1	言	352	
1	咽	130	
1	鸭	105	
1	循	190	
1	血	1032	
1	穴	253	
1	旋	115	
1	玄	168	
1	宣	346	
1	蓄	352	
1	续	103	
1	序	338	
1	许	162	
1	徐	224	
1	虚	672	
1	须	126	
1	吁	238	
1	朽	245	
1	雄	207	
1	胸	183	
1	芎	7161	
1	凶	155	
1	性	1125	
1	杏	582	
1	腥	281	
1	星	118	
1	辛	3032	
1	心	2143	
1	蟹	120	
1	薤	156	
1	屑	624	
1	泻	920	
1	泄	249	
1	斜	1154	
1	胁	167	
1	邪	146	
1	蝎	281	
1	效	1468	
1	小	472	
1	硝	365	
1	消	224	
1	象	261	
1	项	144	
1	详	104	
1	香	1612	
1	痫	152	
1	咸	1207	
1	弦	319	
1	先	116	
1	夏	678	
1	下	1842	
1	细	649	
1	喜	127	
1	洗	2388	
1	膝	373	
1	犀	206	
1	菥	101	
1	误	177	
1	午	173	
1	五	2293	
1	吴	564	
1	无	413	
1	乌	470	
1	问	519	
1	闻	136	
1	文	124	
1	温	5556	
1	谓	529	
1	胃	1170	
1	畏	172	
1	味	1339	
1	未	159	
1	痿	177	
1	尾	152	
1	惟	203	
1	为	982	
1	煨	2136	
1	微	426	
1	王	464	
1	汪	246	
1	菀	110	
1	丸	1484	
1	外	382	
1	吐	776	
1	土	403	
1	涂	143	
1	图	420	
1	头	908	
1	痛	2258	
1	铜	290	
1	同	1355	
1	通	430	
1	铁	179	
1	调	116	
1	条	565	
1	天	643	
1	疼	109	
1	桃	451	
1	溏	125	
1	唐	465	
1	饧	162	
1	汤	2104	
1	痰	476	
1	太	131	
1	他	148	
1	所	103	
1	孙	108	
1	碎	928	
1	岁	197	
1	髓	165	
1	蒜	428	
1	酸	1205	
1	素	910	
1	酥	364	
1	苏	269	
1	嗽	119	
1	宋	565	
1	四	2059	
1	死	2374	
1	思	168	
1	蒴	353	
1	说	887	
1	水	1170	
1	双	358	
1	数	540	
1	朮	291	
1	术	3009	
1	鼠	415	
1	暑	521	
1	熟	425	
1	书	155	
1	手	269	
1	收	759	
1	是	380	
1	氏	174	
1	屎	132	
1	始	116	
1	使	860	
1	食	717	
1	实	1077	
1	时	1501	
1	石	1173	
1	十	791	
1	湿	947	
1	诗	482	
1	圣	106	
1	生	4053	
1	升	670	
1	甚	125	
1	肾	1225	
1	沈	174	
1	神	386	
1	身	276	
1	麝	670	
1	蛇	254	
1	舌	256	
1	少	270	
1	芍	1172	
1	烧	964	
1	上	9388	
1	伤	121	
1	善	1067	
1	疝	750	
1	山	316	
1	晒	147	
1	筛	292	
1	砂	2111	
1	涩	831	
1	色	1272	
1	桑	326	
1	散	1752	
1	三	4958	
1	腮	117	
1	弱	229	
1	若	546	
1	入	521	
1	乳	371	
1	濡	133	
1	茹	459	
1	如	1629	
1	肉	1901	
1	日	646	
1	任	243	
1	仁	730	
1	人	814	
1	热	1593	
1	然	1879	
1	缺	266	
1	犬	195	
1	颧	116	
1	全	168	
1	去	2739	
1	取	311	
1	曲	418	
1	秋	165	
1	清	1043	
1	轻	189	
1	青	709	
1	秦	143	
1	芩	1345	
1	且	145	
1	切	3602	
1	翘	164	
1	羌	410	
1	钱	1477	
1	前	315	
1	铅	123	
1	千	380	
1	气	2306	
1	起	131	
1	脐	430	
1	荠	364	
1	其	604	
1	芪	591	
1	齐	113	
1	七	1253	
1	曝	156	
1	朴	580	
1	破	378	
1	平	6398	
1	片	145	
1	篇	166	
1	僻	152	
1	癖	580	
1	痞	134	
1	脾	1530	
1	皮	2066	
1	劈	142	
1	砒	115	
1	蓬	119	
1	炮	9786	
1	泡	413	
1	藕	131	
1	呕	329	
1	衄	248	
1	女	2639	
1	疟	905	
1	暖	110	
1	怒	208	
1	浓	254	
1	牛	519	
1	年	154	
1	逆	193	
1	能	109	
1	内	789	
1	脑	328	
1	难	298	
1	男	2892	
1	乃	225	
1	目	1359	
1	木	999	
1	牡	167	
1	母	308	
1	某	918	
1	墨	122	
1	末	2724	
1	膜	112	
1	谟	136	
1	明	1498	
1	名	1072	
1	妙	521	
1	苗	1034	
1	面	816	
1	蜜	947	
1	米	285	
1	门	288	
1	每	599	
1	梅	118	
1	枚	226	
1	没	218	
