特殊符号	命名实体	十进制编码
&#;		&#;
d		&#100;
?		&#10000;
?		&#10001;
?		&#10002;
?		&#10003;
?		&#10004;
?		&#10005;
?		&#10006;
?		&#10007;
?		&#10008;
?		&#10009;
?		&#10010;
?		&#10011;
?		&#10013;
?		&#10014;
?		&#10015;
?		&#10016;
?		&#10017;
?		&#10018;
?		&#10019;
?		&#10019;
?		&#10020;
?		&#10020;
?		&#10021;
?		&#10022;
?		&#10026;
?		&#10029;
?		&#10030;
?		&#10031;
?		&#10033;
?		&#10034;
?		&#10035;
?		&#10036;
?		&#10037;
?		&#10038;
?		&#10040;
?		&#10041;
?		&#10042;
?		&#10043;
?		&#10045;
?		&#10047;
?		&#10048;
?		&#10049;
?		&#10050;
?		&#10052;
?		&#10053;
?		&#10054;
?		&#10056;
?		&#10059;
?		&#10084;
?		&#10086;
e		&#101;
?		&#10132;
?		&#10137;
?		&#10140;
?		&#10142;
?		&#10143;
?		&#10144;
?		&#10148;
?		&#10149;
?		&#10150;
?		&#10151;
?		&#10152;
?		&#10162;
?		&#10163;
?		&#10165;
?		&#10168;
?		&#10170;
?		&#10172;
?		&#10173;
?		&#10174;
f		&#102;
?		&#10224;
?		&#10225;
?		&#10226;
?		&#10227;
g		&#103;
h		&#104;
i		&#105;
j		&#106;
k		&#107;
l		&#108;
m		&#109;
n		&#110;
o		&#111;
p		&#112;
q		&#113;
r		&#114;
s		&#115;
t		&#116;
u		&#117;
v		&#118;
w		&#119;
x		&#120;
y		&#121;
z		&#122;
{		&#123;
|		&#124;
}		&#125;
~		&#126;
		&#127;
�		&#128;
?		&#129;
?		&#130;
?		&#131;
?		&#132;
…		&#133;
?		&#134;
?		&#135;
?		&#136;
‰		&#137;
?		&#138;
?		&#139;
?		&#140;
?		&#141;
?		&#142;
?		&#143;
?		&#144;
‘		&#145;
’		&#146;
“		&#147;
”		&#148;
?		&#149;
–		&#150;
—		&#151;
?		&#152;
?		&#153;
?		&#154;
?		&#155;
?		&#156;
?		&#157;
?		&#158;
?		&#159;
	&nbsp;	&#160;
?	&iexcl;	&#161;
￠	&cent;	&#162;
￡	&pound;	&#163;
¤	&curren;	&#164;
￥	&yen;	&#165;
|	&brvbar;	&#166;
§	&sect;	&#167;
¨	&uml;	&#168;
?	&copy;	&#169;
a	&ordf;	&#170;
?	&laquo;	&#171;
?	&not;	&#172;
	&shy;	&#173;
?	&reg;	&#174;
ˉ	&macr;	&#175;
°	&deg;	&#176;
±	&plusmn;	&#177;
2	&sup2;	&#178;
3	&sup3;	&#179;
′	&acute;	&#180;
μ	&micro;	&#181;
?	&para;	&#182;
·	&middot;	&#183;
?	&cedil;	&#184;
